<proies>
x = 4, y = 11, dir = [1 -1], e = 36.000000
x = 13, y = 25, dir = [-1 0], e = -2.750000
x = 3, y = 6, dir = [1 -1], e = -5.000000
x = 9, y = 41, dir = [-1 0], e = -8.750000
x = 6, y = 11, dir = [0 -1], e = 4.500000
x = 10, y = 0, dir = [0 1], e = 4.000000
x = 3, y = 6, dir = [1 -1], e = -1.250000
x = 4, y = 21, dir = [0 -1], e = 2.750000
x = 10, y = 41, dir = [0 0], e = -2.187500
x = 3, y = 8, dir = [1 1], e = -2.500000
x = 4, y = 22, dir = [0 0], e = 2.750000
x = 11, y = 41, dir = [1 0], e = -4.375000
x = 11, y = 27, dir = [1 -1], e = 1.750000
x = 7, y = 22, dir = [1 1], e = -3.500000
x = 13, y = 24, dir = [-1 0], e = -1.375000
x = 19, y = 9, dir = [-1 -1], e = -0.250000
x = 5, y = 25, dir = [-1 1], e = 2.500000
x = 16, y = 4, dir = [1 0], e = 11.000000
x = 2, y = 21, dir = [-1 -1], e = 3.000000
x = 5, y = 23, dir = [0 1], e = 2.750000
x = 5, y = 23, dir = [1 -1], e = 2.750000
x = 19, y = 9, dir = [1 0], e = -0.250000
x = 7, y = 22, dir = [1 1], e = -14.000000
x = 1, y = 26, dir = [0 1], e = -23.500000
x = 8, y = 47, dir = [1 -1], e = -23.500000
x = 13, y = 16, dir = [1 1], e = 4.500000
x = 11, y = 27, dir = [-1 -1], e = 3.500000
x = 4, y = 11, dir = [1 0], e = 18.000000
x = 6, y = 1, dir = [-1 1], e = -1.000000
x = 10, y = 49, dir = [-1 -1], e = -11.750000
x = 19, y = 26, dir = [0 -1], e = -11.750000
x = 6, y = 22, dir = [0 -1], e = -3.500000
x = 1, y = 7, dir = [1 -1], e = -2.500000
x = 13, y = 25, dir = [-1 0], e = -2.750000
x = 3, y = 6, dir = [-1 -1], e = -5.000000
x = 6, y = 11, dir = [1 0], e = 4.500000
x = 3, y = 6, dir = [-1 0], e = -1.250000
x = 10, y = 41, dir = [0 -1], e = -2.187500
x = 11, y = 27, dir = [1 0], e = 1.750000
x = 7, y = 22, dir = [1 -1], e = -3.500000
x = 13, y = 24, dir = [1 -1], e = -1.375000
x = 19, y = 9, dir = [-1 -1], e = -0.250000
x = 5, y = 25, dir = [-1 -1], e = 1.250000
x = 2, y = 21, dir = [-1 0], e = 3.000000
x = 5, y = 23, dir = [0 -1], e = 1.375000
x = 5, y = 23, dir = [1 -1], e = 2.750000
x = 19, y = 9, dir = [0 0], e = -0.125000
x = 11, y = 27, dir = [-1 1], e = 3.500000
x = 6, y = 22, dir = [-1 -1], e = -1.750000
x = 5, y = 25, dir = [0 -1], e = 1.250000
x = 5, y = 23, dir = [1 1], e = 1.375000
x = 19, y = 9, dir = [0 -1], e = -0.125000
x = 6, y = 22, dir = [0 0], e = -1.750000
</proies>
<predateur>
x = 16, y = 8, dir = [0 1], e = 26.000000
x = 11, y = 17, dir = [0 1], e = 26.000000
x = 18, y = 43, dir = [1 0], e = 10.000000
x = 6, y = 31, dir = [0 -1], e = 13.750000
x = 13, y = 36, dir = [0 -1], e = 40.500000
x = 5, y = 18, dir = [-1 1], e = 8.500000
x = 8, y = 0, dir = [1 -1], e = 2.500000
x = 9, y = 2, dir = [-1 1], e = 41.000000
x = 12, y = 43, dir = [-1 1], e = 77.000000
x = 11, y = 14, dir = [-1 -1], e = 20.000000
x = 0, y = 44, dir = [1 1], e = 24.500000
x = 5, y = 42, dir = [1 0], e = 9.500000
x = 11, y = 0, dir = [0 0], e = 47.500000
x = 6, y = 27, dir = [-1 0], e = 12.500000
x = 0, y = 47, dir = [1 -1], e = 3.500000
x = 2, y = 31, dir = [-1 0], e = 45.000000
x = 2, y = 3, dir = [0 0], e = 35.000000
x = 19, y = 34, dir = [-1 1], e = 36.000000
x = 15, y = 33, dir = [-1 1], e = 1.000000
x = 4, y = 7, dir = [0 1], e = 4.750000
x = 4, y = 7, dir = [0 1], e = 19.000000
x = 15, y = 33, dir = [-1 1], e = 1.000000
x = 19, y = 34, dir = [-1 1], e = 18.000000
x = 2, y = 3, dir = [0 0], e = 8.750000
x = 2, y = 31, dir = [-1 0], e = 22.500000
x = 0, y = 47, dir = [1 -1], e = 1.750000
x = 6, y = 27, dir = [-1 0], e = 25.000000
x = 11, y = 0, dir = [0 0], e = 47.500000
x = 5, y = 42, dir = [1 0], e = 9.500000
x = 0, y = 44, dir = [1 1], e = 49.000000
x = 11, y = 14, dir = [-1 -1], e = 20.000000
x = 12, y = 43, dir = [-1 1], e = 77.000000
x = 9, y = 2, dir = [-1 1], e = 41.000000
x = 8, y = 0, dir = [1 -1], e = 5.000000
x = 5, y = 18, dir = [-1 1], e = 17.000000
x = 13, y = 36, dir = [0 -1], e = 20.250000
x = 6, y = 31, dir = [0 -1], e = 27.500000
x = 18, y = 43, dir = [1 0], e = 10.000000
x = 11, y = 17, dir = [0 1], e = 26.000000
x = 16, y = 8, dir = [0 1], e = 26.000000
x = 15, y = 7, dir = [-1 0], e = 26.000000
x = 16, y = 42, dir = [-1 -1], e = 2.500000
x = 6, y = 33, dir = [0 1], e = 6.875000
x = 6, y = 16, dir = [0 -1], e = 8.500000
x = 8, y = 0, dir = [1 -1], e = 2.500000
x = 13, y = 16, dir = [1 1], e = 10.000000
x = 0, y = 42, dir = [1 -1], e = 12.250000
x = 3, y = 42, dir = [-1 0], e = 4.750000
x = 6, y = 26, dir = [-1 -1], e = 12.500000
x = 4, y = 7, dir = [0 1], e = 4.750000
x = 17, y = 33, dir = [1 1], e = 0.500000
x = 3, y = 3, dir = [1 0], e = 8.750000
x = 4, y = 31, dir = [1 0], e = 5.625000
x = 0, y = 49, dir = [1 1], e = 1.750000
x = 12, y = 49, dir = [1 -1], e = 23.750000
x = 5, y = 43, dir = [1 1], e = 4.750000
x = 14, y = 37, dir = [1 0], e = 40.500000
x = 7, y = 33, dir = [1 1], e = 13.750000
x = 17, y = 7, dir = [1 0], e = 6.500000
x = 16, y = 42, dir = [-1 -1], e = 5.000000
x = 7, y = 31, dir = [1 -1], e = 6.875000
x = 3, y = 42, dir = [-1 0], e = 2.375000
x = 7, y = 27, dir = [0 0], e = 12.500000
x = 5, y = 7, dir = [1 1], e = 1.187500
x = 3, y = 30, dir = [0 -1], e = 11.250000
x = 10, y = 1, dir = [-1 1], e = 23.750000
x = 4, y = 43, dir = [0 1], e = 2.375000
x = 6, y = 32, dir = [0 0], e = 13.750000
x = 15, y = 8, dir = [-1 1], e = 3.250000
x = 7, y = 31, dir = [1 -1], e = 6.875000
x = 5, y = 5, dir = [1 -1], e = 1.187500
x = 3, y = 41, dir = [-1 -1], e = 1.187500
x = 15, y = 7, dir = [-1 0], e = 3.250000
x = 5, y = 42, dir = [1 0], e = 0.593750
x = 15, y = 6, dir = [-1 -1], e = 3.250000
x = 11, y = 17, dir = [1 -1], e = 26.000000
x = 6, y = 31, dir = [1 1], e = 6.875000
x = 13, y = 36, dir = [-1 1], e = 40.500000
x = 5, y = 18, dir = [1 -1], e = 8.500000
x = 8, y = 0, dir = [0 1], e = 2.500000
x = 11, y = 0, dir = [0 0], e = 23.750000
x = 6, y = 27, dir = [-1 -1], e = 12.500000
x = 0, y = 47, dir = [-1 -1], e = 3.500000
x = 15, y = 33, dir = [0 1], e = 1.000000
x = 4, y = 7, dir = [1 -1], e = 2.375000
x = 19, y = 34, dir = [-1 0], e = 18.000000
x = 2, y = 3, dir = [0 0], e = 4.375000
x = 0, y = 47, dir = [-1 0], e = 1.750000
x = 6, y = 27, dir = [0 0], e = 12.500000
x = 11, y = 14, dir = [1 0], e = 20.000000
x = 8, y = 0, dir = [-1 1], e = 2.500000
x = 5, y = 18, dir = [-1 -1], e = 8.500000
x = 13, y = 36, dir = [1 -1], e = 20.250000
x = 18, y = 43, dir = [-1 1], e = 10.000000
x = 11, y = 17, dir = [-1 0], e = 13.000000
x = 16, y = 42, dir = [1 0], e = 1.250000
x = 6, y = 33, dir = [1 0], e = 3.437500
x = 6, y = 16, dir = [1 -1], e = 8.500000
x = 8, y = 0, dir = [0 1], e = 1.250000
x = 13, y = 16, dir = [0 1], e = 10.000000
x = 0, y = 42, dir = [1 0], e = 6.125000
x = 17, y = 33, dir = [-1 0], e = 0.250000
x = 3, y = 3, dir = [0 1], e = 8.750000
x = 4, y = 31, dir = [-1 1], e = 5.625000
x = 0, y = 49, dir = [-1 -1], e = 0.875000
x = 17, y = 7, dir = [-1 0], e = 6.500000
x = 3, y = 42, dir = [-1 1], e = 2.375000
x = 5, y = 7, dir = [1 -1], e = 0.593750
x = 15, y = 8, dir = [-1 -1], e = 3.250000
x = 5, y = 5, dir = [0 0], e = 0.593750
x = 5, y = 42, dir = [0 0], e = 0.296875
x = 6, y = 31, dir = [0 1], e = 3.437500
x = 11, y = 0, dir = [1 1], e = 23.750000
x = 4, y = 7, dir = [0 -1], e = 2.375000
x = 2, y = 3, dir = [1 -1], e = 2.187500
x = 6, y = 27, dir = [1 -1], e = 12.500000
x = 8, y = 0, dir = [0 -1], e = 2.500000
x = 5, y = 18, dir = [-1 -1], e = 8.500000
x = 11, y = 17, dir = [0 1], e = 13.000000
x = 16, y = 42, dir = [1 -1], e = 1.250000
x = 6, y = 33, dir = [1 0], e = 3.437500
x = 8, y = 0, dir = [-1 0], e = 0.625000
x = 0, y = 42, dir = [-1 1], e = 3.062500
x = 17, y = 33, dir = [0 -1], e = 0.250000
x = 0, y = 49, dir = [-1 1], e = 0.437500
x = 5, y = 7, dir = [-1 -1], e = 0.593750
x = 5, y = 5, dir = [-1 1], e = 0.593750
x = 5, y = 42, dir = [0 1], e = 0.148438
x = 6, y = 31, dir = [0 0], e = 1.718750
x = 2, y = 3, dir = [1 -1], e = 1.093750
x = 8, y = 0, dir = [1 -1], e = 0.312500
x = 0, y = 42, dir = [-1 0], e = 3.062500
x = 0, y = 49, dir = [-1 1], e = 0.437500
x = 5, y = 42, dir = [-1 0], e = 0.074219
x = 6, y = 31, dir = [-1 1], e = 0.859375
x = 2, y = 3, dir = [0 1], e = 0.546875
x = 8, y = 0, dir = [1 -1], e = 0.312500
x = 5, y = 42, dir = [1 0], e = 0.037109
x = 6, y = 31, dir = [0 -1], e = 0.429688
x = 2, y = 3, dir = [1 1], e = 0.273438
x = 5, y = 42, dir = [-1 1], e = 0.037109
x = 6, y = 31, dir = [0 -1], e = 0.429688
x = 2, y = 3, dir = [0 -1], e = 0.273438
</predateur>
